Project,Company,Year,Content_Type,Commitment,Broadcaster,Activity,Genre,Delivery Method,Round,Region,Program,Status,Language,Selection Round
Scaredy Squirrel II DM Website,Corus Digital Inc.,2011 - 2012,Rich Interactive Media,$64;160.00,N/A,Production,Children's & Youth,Website,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Scaredy Squirrel II DM Website,Corus Digital Inc.,2011 - 2012,Rich Interactive Media,$138;380.00,,Production,Children's & Youth,Website,N/A,Ontario,Convergent Digital Media Incentive,Contracted,English,N/A
Scaredy Squirrel II DM Mobile,Corus Digital Inc.,2011 - 2012,Game,$48;715.00,N/A,Production,Children's & Youth,Application,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Scaredy Squirrel II DM Mobile,Corus Digital Inc.,2011 - 2012,Game,$48;715.00,,Production,Children's & Youth,Application,N/A,Ontario,Convergent Digital Media Incentive,Contracted,English,N/A
Detentionaire (The) III – Website,Corus Digital Inc.,2011 - 2012,Game,$18;000.00,N/A,Production,Children's & Youth,Website,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Detentionaire (The) III – Website,Corus Digital Inc.,2011 - 2012,Game,$132;000.00,,Production,Children's & Youth,Website,N/A,Ontario,Convergent Digital Media Incentive,Contracted,English,N/A
Detentionaire (The) III DM – Mobile,Corus Digital Inc.,2011 - 2012,Game,$150;000.00,,Production,Children's & Youth,Downloadable,N/A,Ontario,Convergent Digital Media Incentive,Contracted,English,N/A
Neighbor’s Dog (The) III-DM,101194008 Saskatchewan Ltd.,2011 - 2012,Rich Interactive Media,$10;000.00,N/A,Production,Variety & Performing Arts,Website,N/A,Saskatchewan,Performance Envelopes,Contracted,English,N/A
Neighbor’s Dog (The) III-DM,101194008 Saskatchewan Ltd.,2011 - 2012,Rich Interactive Media,$15;000.00,,Production,Variety & Performing Arts,Website,N/A,Saskatchewan,Convergent Digital Media Incentive,Contracted,English,N/A
Manor (The),Six Island Productions (Manor) Inc.,2011 - 2012,N/A,$85;000.00,N/A,Production,Documentary,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Manor (The),Six Island Productions (Manor) Inc.,2011 - 2012,N/A,$1;000.00,N/A,Production,Documentary,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Sur les étages – MN,Amazone Film Inc.,2011 - 2012,Rich Interactive Media,$20;000.00,N/A,Production,Documentary,Website,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Geeks and Geezers I (1-6),DHX/G&G Productions Inc.,2011 - 2012,N/A,$95;994.00,N/A,Production,Drama,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Taking Back the Years I (1-6),May Street Productions Ltd.,2011 - 2012,N/A,$65;000.00,N/A,Production,Documentary,N/A,N/A,British Columbia,Performance Envelopes,Contracted,English,N/A
Taking Back the Years I (1-6),May Street Productions Ltd.,2011 - 2012,N/A,$18;675.00,,Production,Documentary,N/A,N/A,British Columbia,English Production Incentive-British Columbia,Contracted,English,N/A
Catch The Dream Bios with Adam Beach I (1-6),Stonecast Pictures Inc.,2011 - 2012,N/A,$237;750.00,N/A,Production,Documentary,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Scaredy Squirrel II (27-40),Nelvana Limited,2011 - 2012,N/A,$895;314.00,N/A,Production,Children's & Youth,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Roc Star : les mineurs du Québec II (1-8),Productions GFP Inc.,2011 - 2012,N/A,$118;302.00,N/A,Production,Documentary,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Western Swagger,Century Football Productions Inc.,2011 - 2012,N/A,$195;000.00,N/A,Production,Documentary,N/A,N/A,Alberta,Performance Envelopes,Contracted,English,N/A
CFL 100th Anniversary Stories (Grey Cup 1969) AKA Playing a Dangerous Game,Smokin' Girl Productions Inc.,2011 - 2012,N/A,$198;965.00,N/A,Production,Documentary,N/A,N/A,Nova Scotia,Performance Envelopes,Contracted,English,N/A
CFL 100th Anniversary Stories (Grey Cup 1969) AKA Playing a Dangerous Game,Smokin' Girl Productions Inc.,2011 - 2012,N/A,$49;483.00,,Production,Documentary,N/A,N/A,Nova Scotia,English Production Incentive-Nova Scotia,Contracted,English,N/A
Aux pays des Têtes à claques I (9-13),6866964 Canada Inc. FUSIONNÉE dans Salambo Productions #136238,2011 - 2012,N/A,$90;210.00,N/A,Production,Drama,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Ferme de Zénon (À la) I (1-72),SRC,2011 - 2012,N/A,$500;000.00,N/A,Production,Children's & Youth,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Regret,No Regrets Ltd.,2011 - 2012,N/A,$55;000.00,N/A,Production,Documentary,N/A,N/A,Newfoundland & Labrador,Performance Envelopes,Contracted,English,N/A
Halifax Comedy Festival 2012 (1-6),ComedyTV 12 Inc.,2011 - 2012,N/A,$227;147.00,N/A,Production,Variety & Performing Arts,N/A,N/A,Nova Scotia,Performance Envelopes,Contracted,English,N/A
Vic Chesnutt – It Is What It Is,101061436 Saskatchewan Ltd.,2011 - 2012,N/A,$18;750.00,N/A,Production,Variety & Performing Arts,N/A,N/A,Saskatchewan,Performance Envelopes,Contracted,English,N/A
Saving Hope I (2-13),Hope Zee One Inc.,2012 - 2013,N/A,$4;144;781.00,N/A,Production,Drama,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Saving Hope I (2-13),Hope Zee One Inc.,2011 - 2012,N/A,$1;947;523.00,N/A,Production,Drama,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Truck Stop Bloodsuckers – DM,Grave Punchers Productions Inc.,2011 - 2012,Rich Interactive Media,$43;000.00,N/A,Production,Drama,Website,N/A,Alberta,Performance Envelopes,Contracted,English,N/A
Truck Stop Bloodsuckers – DM,Grave Punchers Productions Inc.,2011 - 2012,Rich Interactive Media,$16;537.00,,Production,Drama,Website,N/A,Alberta,Convergent Digital Media Incentive,Contracted,English,N/A
Truck Stop Bloodsuckers Prequel,Grave Punchers Productions Inc.,2011 - 2012,N/A,$4;748.00,N/A,Production,Drama,N/A,N/A,Alberta,Performance Envelopes,Contracted,English,N/A
Truck Stop Bloodsuckers Prequel,Grave Punchers Productions Inc.,2011 - 2012,N/A,$1;111.00,,Production,Drama,N/A,N/A,Alberta,English Production Incentive-Alberta,Contracted,English,N/A
Hard Rock Medical – DM,Hard Rock Medical Productions Inc.,2012 - 2013,Game,$1;000.00,N/A,Production,Drama,Website,N/A,Ontario,Performance Envelopes,Contracted,English,N/A
Hard Rock Medical – DM,Hard Rock Medical Productions Inc.,2011 - 2012,Game,$92;500.00,N/A,Production,Drama,Website,N/A,Ontario,Performance Envelopes,Contracted,English,N/A
TAM III – MN,Production TAM inc.,2011 - 2012,Rich Interactive Media,$12;939.00,N/A,Production,Variety & Performing Arts,Website,N/A,Quebec,Performance Envelopes,Contracted,French,N/A
TAM III (12-24),Production TAM inc.,2011 - 2012,N/A,$187;061.00,N/A,Production,Variety & Performing Arts,N/A,N/A,Quebec,Performance Envelopes,Contracted,French,N/A
Accrocheurs (Les) – MN,HM2 Productions Inc.,2011 - 2012,Rich Interactive Media,$19;666.00,N/A,Production,Documentary,Website,N/A,Quebec,Performance Envelopes,Contracted,French,N/A
Comédie club 2012 III (27-39),QuébéComm Télévision Inc.,2011 - 2012,N/A,$166;565.00,N/A,Production,Variety & Performing Arts,N/A,N/A,Quebec,Performance Envelopes,Contracted,French,N/A
Planches aux pieds (Les) (1-3),Quiet Motion Inc.,2011 - 2012,N/A,$154;964.00,N/A,Production,Documentary,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Argonautes (Les) – MN,Productions Pixcom Inc.,2011 - 2012,Rich Interactive Media,$60;000.00,N/A,Production,Children's & Youth,Website,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
G cuisiné III (161-225),Broco show inc.,2011 - 2012,N/A,$184;000.00,N/A,Production,Children's & Youth,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Croisée des chemins (La) II (14-26),Balestra Productions Inc.,2011 - 2012,N/A,$409.00,N/A,Versioning,Documentary,N/A,N/A,Ontario,Versioning,Contracted,French,N/A
Adrénaline (Volet Web),Images Pimiento 2 Inc.,2011 - 2012,Rich Interactive Media,$20;000.00,N/A,Production,Documentary,Website,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Adrénaline I (1-13),Images Pimiento 2 Inc.,2011 - 2012,N/A,$207;111.00,N/A,Production,Documentary,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Bidonville – MN,9249-9847 Québec inc.,2011 - 2012,Rich Interactive Media,$15;776.00,N/A,Production,Documentary,Website,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Bidonville – MN,9249-9847 Québec inc.,2011 - 2012,Rich Interactive Media,$8;542.00,N/A,Production,Documentary,Website,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Voulez-vous fêter? I (1-5),Zone3 Inc.,2011 - 2012,N/A,$240;000.00,N/A,Production,Documentary,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Démasquées… Les Beautés,Zone3-XXXIV Inc.,2011 - 2012,N/A,$57;179.00,N/A,Production,Documentary,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Transporter (The) I – DM,Driver For Hire (QVF) Inc.,2011 - 2012,Rich Interactive Media,$97;431.00,N/A,Production,Drama,Website,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Personnalité / Lumière sur / Biographie – MN,PVP-Films Inc.,2011 - 2012,Rich Interactive Media,$49;000.00,N/A,Production,Documentary,Website,N/A,Quebec,Performance Envelopes,Contracted,French,N/A
Tu m’aimes-tu ? I (1-13),Zone3-XXXIV Inc.,2011 - 2012,N/A,$1;666;939.00,N/A,Production,Drama,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Borealis – DM,Borealis Season One Inc.,2011 - 2012,Game,$1;000.00,N/A,Development,Drama,Website,N/A,Alberta,Development Envelopes,Contracted,English,N/A
Borealis I (1-3),Borealis Season One Inc.,2011 - 2012,N/A,$112;651.00,N/A,Development,Drama,N/A,N/A,Alberta,Development Envelopes,Contracted,English,N/A
Gentleman (Le) III (17-24),Productions Gentilhomme Inc.,2011 - 2012,N/A,$2;681;999.00,N/A,Production,Drama,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Boy on Bridge,Petty Harbour Productions Inc.,2011 - 2012,N/A,$225;000.00,N/A,Production,Documentary,N/A,N/A,Newfoundland & Labrador,Performance Envelopes,Contracted,English,N/A
Dernier passager (Le) II – Application mobile,Communications PR3 inc.,2011 - 2012,Rich Interactive Media,$30;000.00,,Production,Children's & Youth,Downloadable,N/A,Quebec,Convergent Digital Media Incentive,Contracted,French,N/A
No Land; No Food; No Life,Productions Films de l'Oeil Inc.,2012 - 2013,N/A,$247;370.00,N/A,Production,Documentary,N/A,N/A,Quebec,English POV,Contracted,English,N/A
No Land; No Food; No Life,Productions Films de l'Oeil Inc.,2012 - 2013,N/A,$10;000.00,N/A,Production,Documentary,N/A,N/A,Montreal,Performance Envelopes,Contracted,English,N/A
No Land; No Food; No Life,Productions Films de l'Oeil Inc.,2011 - 2012,N/A,$18;500.00,,Production,Documentary,N/A,N/A,Montreal,English Production Incentive-Quebec,Contracted,English,N/A
Vie est un cirque (La) IV (19-24),Zone3-XXXVI Inc.,2011 - 2012,N/A,$120;000.00,N/A,Production,Variety & Performing Arts,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Autre Mari (L’) – MN,Atelier Rocoto Inc.,2011 - 2012,Rich Interactive Media,$16;946.00,N/A,Production,Documentary,Website,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Neighbor’s Dog (The) III (301-313),101194008 Saskatchewan Ltd.,2011 - 2012,N/A,$90;000.00,N/A,Production,Variety & Performing Arts,N/A,N/A,Saskatchewan,Performance Envelopes,Contracted,English,N/A
Inimaginables – MN,Connections Productions Inc.,2011 - 2012,Rich Interactive Media,$25;000.00,N/A,Production,Documentary,Website,3,New Brunswick,Francophone Minority,Contracted,French,3
Série Juste pour rire 2011 (1-8),Juste pour rire TV Inc.,2011 - 2012,N/A,$410;000.00,N/A,Production,Variety & Performing Arts,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Artiste du mois XII (1-12),TV MaxPlus Productions Inc.,2011 - 2012,N/A,$366;263.00,N/A,Production,Variety & Performing Arts,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Dernier passager (Le) II – Web,Communications PR3 inc.,2011 - 2012,Rich Interactive Media,$21;300.00,N/A,Production,Children's & Youth,Website,N/A,Quebec,Performance Envelopes,Contracted,French,N/A
Inimaginable (1-8),511211 NB Inc.,2011 - 2012,N/A,$364;500.00,N/A,Production,Documentary,N/A,3,New Brunswick,Francophone Minority,Contracted,French,3
Classique extérieur d’impro – Grand Rire 2011,QuébéComm Télévision Inc.,2011 - 2012,N/A,$10;000.00,N/A,Production,Variety & Performing Arts,N/A,N/A,Quebec,Performance Envelopes,Contracted,French,N/A
Wingin’ It III (301-310),Temple Street Releasing Limited,2011 - 2012,N/A,$42;395.00,N/A,Versioning,Children's & Youth,N/A,N/A,Ontario,Versioning,Contracted,English,N/A
Unclaimed,Agoge Films Inc.,2011 - 2012,N/A,$29;999.00,,Production,Documentary,N/A,N/A,Alberta,English Production Incentive-Alberta,Contracted,English,N/A
Méthane : rêve ou cauchemar (1-2),Idéacom International Inc.,2011 - 2012,N/A,$59;936.00,N/A,Production,Documentary,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Méthane : rêve ou cauchemar (1-2),Idéacom International Inc.,2011 - 2012,N/A,$110;000.00,N/A,Production,Documentary,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Visionnaires (Les) I (1-10),6399550 Canada Inc.,2011 - 2012,N/A,$359;209.00,N/A,Production,Documentary,N/A,3,Ontario,Francophone Minority,Contracted,French,3
Antisociallimited.com,ID: Productions Inc.,2011 - 2012,Rich Interactive Media,$1;000.00,N/A,Development,Documentary,Website,N/A,Alberta,Development Envelopes,Contracted,English,N/A
Antisocial Limited,ID: Productions Inc.,2011 - 2012,N/A,$9;351.00,N/A,Development,Documentary,N/A,N/A,Alberta,Development Envelopes,Contracted,English,N/A
À coups de poings; à coups de coeur,3809412 Canada Inc.,2011 - 2012,N/A,$64;000.00,N/A,Production,Documentary,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Seed I (1-13),Force Four Productions Ltd.,2011 - 2012,N/A,$28;204.00,N/A,Development,Drama,N/A,N/A,British Columbia,Development Envelopes,Contracted,English,N/A
Off the Edge of the Map I-DM,Force Four Productions Ltd.,2011 - 2012,Rich Interactive Media,$250.00,N/A,Development,Documentary,Website,N/A,British Columbia,Development Envelopes,Contracted,English,N/A
Off the Edge of the Map I (1-13),Force Four Productions Ltd.,2011 - 2012,N/A,$15;000.00,N/A,Development,Documentary,N/A,N/A,British Columbia,Development Envelopes,Contracted,English,N/A
Dernière Harde (La),8136394 Canada inc,2011 - 2012,N/A,$10;000.00,N/A,Production,Documentary,N/A,N/A,Quebec,Performance Envelopes,Contracted,French,N/A
Dernière Harde (La),8136394 Canada inc,2011 - 2012,N/A,$54;048.00,N/A,Production,Documentary,N/A,N/A,Quebec,Quebec French Regional Production Incentive,Contracted,French,N/A
Mr. Pandini’s Amazing Pet Show I (1-26),Worldwide Bag Media Inc.,2011 - 2012,N/A,$18;934.00,N/A,Development,Children's & Youth,N/A,N/A,British Columbia,Development Envelopes,Contracted,English,N/A
Dan Signer Untitled I (1-26),Thunderbird Films Inc.,2011 - 2012,N/A,$34;887.00,N/A,Development,Children's & Youth,N/A,N/A,British Columbia,Development Envelopes,Contracted,English,N/A
GreenHeroes.tv – MetaGame,CineFocus Canada Interactive Inc.,2011 - 2012,Game,$5;000.00,N/A,Development,Documentary,Downloadable,N/A,Toronto,Development Envelopes,Contracted,English,N/A
Green Heroes II (7-12),CineFocus Canada Productions Inc.,2011 - 2012,N/A,$10;000.00,N/A,Development,Documentary,N/A,N/A,Toronto,Development Envelopes,Contracted,English,N/A
Brothers Sandhu (The) I (1-26),S&S Executive Services Inc.,2011 - 2012,N/A,$6;822.00,N/A,Development,Children's & Youth,N/A,N/A,Toronto,Development Envelopes,Contracted,English,N/A
Package Deal I (1-13),Thunderbird Films Inc.,2011 - 2012,N/A,$33;728.00,N/A,Development,Drama,N/A,N/A,British Columbia,Development Envelopes,Contracted,English,N/A
Harold gentleman exterminateur,3809412 Canada Inc.,2011 - 2012,N/A,$64;000.00,N/A,Production,Documentary,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Sweet vs. Freaks I – DM,League Productions Inc.,2011 - 2012,Rich Interactive Media,$125.00,N/A,Development,Children's & Youth,Website,N/A,British Columbia,Development Envelopes,Contracted,English,N/A
Sweet vs. Freaks I (1-26),League Productions Inc.,2011 - 2012,N/A,$5;000.00,N/A,Development,Children's & Youth,N/A,N/A,Ontario,Development Envelopes,Contracted,English,N/A
Rendez-Vous I (1-8),7810750 Canada Inc.,2011 - 2012,N/A,$400;000.00,N/A,Production,Documentary,N/A,2,Ontario,Francophone Minority,Contracted,French,2
Rendez-Vous I (1-8),7810750 Canada Inc.,2011 - 2012,N/A,$8;000.00,N/A,Production,Documentary,N/A,N/A,Ontario,Performance Envelopes,Contracted,French,N/A
Secouristes de l’extrême (Les) (1-4),PVP-Films Inc.,2011 - 2012,N/A,$40;000.00,N/A,Production,Documentary,N/A,N/A,Quebec,Performance Envelopes,Contracted,French,N/A
Bedtime Stories – DM,Fire Development Inc.,2011 - 2012,Rich Interactive Media,$500.00,N/A,Development,Drama,Website,N/A,Toronto,Development Envelopes,Contracted,English,N/A
Bedtime Stories I (1-13),Fire Development Inc.,2011 - 2012,N/A,$24;650.00,N/A,Development,Drama,N/A,N/A,Toronto,Development Envelopes,Contracted,English,N/A
Dernier passager (Le) II (14-39),Communications PR3 inc.,2011 - 2012,N/A,$460;088.00,N/A,Production,Children's & Youth,N/A,N/A,Quebec,Performance Envelopes,Contracted,French,N/A
Dernier passager (Le) II (14-39),Communications PR3 inc.,2011 - 2012,N/A,$69;429.00,N/A,Production,Children's & Youth,N/A,N/A,Quebec,Quebec French Regional Production Incentive,Contracted,French,N/A
Prière de ne pas envoyer de fleurs I (1-13),Zone3-XXXV inc.,2011 - 2012,N/A,$190;000.00,N/A,Production,Variety & Performing Arts,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
CFL 100th Anniversary Stories (Aquila Productions Inc.),Aquila Productions Inc.,2011 - 2012,N/A,$15;000.00,N/A,Development,Documentary,N/A,N/A,Alberta,Development Envelopes,Contracted,English,N/A
Infernal Digital World of Dr. Druce (The) – DM,Apartment 11 Productions Inc.,2012 - 2013,Game,$1;500.00,N/A,Development,Children's & Youth,Website,N/A,Montreal,Development Envelopes,Contracted,English,N/A
Infernal World of Doctor Druce (The) I (1-26),Apartment 11 Productions Inc.,2012 - 2013,N/A,$15;000.00,N/A,Development,Children's & Youth,N/A,N/A,Montreal,Development Envelopes,Contracted,English,N/A
Infernal World of Doctor Druce (The) I (1-26),Apartment 11 Productions Inc.,2011 - 2012,N/A,$37;363.00,N/A,Development,Children's & Youth,N/A,N/A,Montreal,Development Envelopes,Contracted,English,N/A
Chop Chop Ninja – DM,Sardine Productions Inc.,2011 - 2012,Game,$2;000.00,N/A,Development,Children's & Youth,Downloadable,N/A,Montreal,Development Envelopes,Contracted,English,N/A
Gavin Crawford’s Wild West I (2-13),Temple Street Productions Inc.,2011 - 2012,N/A,$77;154.00,N/A,Development,Drama,N/A,N/A,Toronto,Development Envelopes,Contracted,English,N/A
Chop Chop Ninja I (1-52),Sardine Productions Inc.,2013 - 2014,N/A,$21;662.00,N/A,Development,Children's & Youth,N/A,N/A,Montreal,Development Envelopes,Contracted,English,N/A
